comment,label
पण त्याला सामना संपवण्यात अपयश आले.,-1
हा प्रकार अजिबात अपेक्षित नव्हता.,-1
काही ख्रिस्ती निरनिराळ्या वस्तू मिळवण्याच्या इच्छेला कशाप्रकारे बळी पडू शकतात?,-1
कोआला कधी बघितला आहेस का?,0
मला जगातला सर्वात चांगला पियानो वादक व्हायचं आहे.,1
तिनं वर्गात कधीच अ आ ई गिरवलं नाही.,-1
रिझल्ट कसा पाहाल?,0
"पद्मश्री, पद्मभूषण आणि पद्मविभूषण या तीनही पुरस्कारांनी त्यांचा गौरव झाला आहे.",1
याचा चांगला परिणाम घडून आला!,1
राज्यात भाजप वाढवण्यासाठी त्यांच मोठं योगदान आहे.,1
भारताचे पंतप्रधान नरेंद्र मोदींनी फ्रान्स हल्ल्याचा निषेध केला आहे.,-1
पण गणिताकडे मात्र असं पाहिलं जात नाही.,-1
तर काही जणांच्या हे खरच असे घडले आहे का?,0
अशी टीकाही त्यांनी केली आहे.,-1
गोव्यात मान्सूनचं दमदार आगमन झालं,1
आम्हा सर्वांना विश्वास वाटत होता.,1
पण यामागे नक्की काय गहन अर्थ दडला आहे?,0
मग अशा प्रकारचे प्रश्‍न विचारणं चुकीचं आहे का?,0
"आपण याचा अर्थ असा, काय सुरू करण्यासाठी?",0
निर्धाराने वास्तवाला सामोरे जा.,1
अली अब्बास जफर दिग्दर्शित हा चित्रपट त्याच्या कथानकासाठी विशेष चर्चेत आहे.,1
हे गाव आपल्या कापड गिरण्यांसाठी प्रसिद्ध होते.,1
या लोकांना फार प्रसिद्ध मिळाली आहे.,1
त्याचबरोबर राजकीय स्वातंत्र्याचाही पुरस्कार केला.,1
मला अजूनच अस्वस्थ करत .,-1
पोलिसांनी एकत्रितपणे हे ऑपरेशन यशस्वी केलं.,1
त्यावर पोलिसांनी ही बाब खाजगी असल्याने माहिती देण्यास नकार दिला.,-1
सहनशीलता तुम्हाला परीक्षेत असतानाही आनंदी राहण्यास मदत करते.,1
व्यक्तीचा विजय नव्हे तर लोकशाहीचा विजय,1
हे चांगले अंमलबजावणी केली.,1
मी त्यांना शांती आणि सुरक्षा ह्यांचा आनंद लुटू देईन.,1
त्यांना काही कामधंदा आहे की नाही.,-1
या संपात काही गाडय़ांची तोडफोडही करण्यात आली होती.,-1
त्याविरूध्द संपूर्ण देशात प्रचंड असंतोष खदखदू लागला.,-1
माजी मुख्यमंत्री अशोक चव्हाण यांनीही याविरोधात भूमिका मांडली आहे.,-1
तरिही घडतय ना हे?,-1
ही लेखमाला वाचल्याबद्दल आपल्याला खूप धन्यवाद!,1
अजित पवार आता कशाची शेती करणार?,0
त्याने सकारात्मक दृष्टिकोन बाळगला.,1
सरकार सकारात्मक आणि संवेदनशील आहे.,1
थट्टा चांगली होती.,1
"आपण काय करू शकतो, पालक?",0
उंच टावर्ससाठी चांगले होते.,1
यामुळे देशाची प्रतिमा मलीन होते.,-1
यामध्ये मी यशस्वीदेखील झालो.,1
विशेषत: स्त्रियांसाठी!,0
मी त्यांना विचारले की काय घाई होती?,0
पटवर्धन म्हणजे विलक्षण माणूस!,0
तुझी शेवटची इच्छा काय आहे ?,0
रस्ते नीट नाहीत.,-1
पण प्रत्यक्षात असे काहीही नाही.,-1
कोण आहेत अधिकारी ?,0
एखाद्याच्या जीवापेक्षा परीक्षा महत्त्वाच्या आहेत का?,0
त्यावरुन त्यांनी नितिश सरकारवर जोरदार टीका केली होती.,-1
सवोर्त्कृष्ट अभिनेत्याचे पहिले ऑस्कर एमिल जॅनिंग्ज यांना दिले गेले होते.,1
सवोर्त्कृष्ट अभिनेत्रीचे पहिले ऑस्कर जेनेट गेनर यांना मिळाले ,1
आणि ती अत्यंत रास्त होती.,-1
मात्र त्यावर अधिक लोकांचा विश्वास नाही.,-1
तुझा बँड कुठे आहे?,0
कोणाच्याद्वारे कार्य करणार होता?,0
प्रश्न असा आहे की नक्की खोटे कोण बोलतेय ?,0
तुम्ही त्यांना मदत करत आहात का?,0
ही गोष्ट आपल्याला काय देते?,0
परंतु त्यालासुद्धा पर्याय आहे.,0
अतिशय सुंदर रंगभूषा झाली होती.,1
च्यायला त्या कावळ्याच्या !,-1
काय कुणास ठाऊक ?,0
मात्र मोदी सरकार ही योजना अंमलात आणण्यात अयशस्वी ठरले आहे.,-1
त्याच्यासाठीच गेली होती ना?,0
माझी आंगठी कुठे आहे?,0
ह्याचे निर्जंतुकीकरण कसे करायचे?,0
एवढे करून त्या पंतप्रधानाला काय मिळाले?,0
मोदींच्या निर्णयामुळे देशाचं भलं होईल.,1
आई-वडिलांनंतर आपल्याला घडविण्यात सर्वात महत्त्वाचा वाटा आपल्या शिक्षकांचा असतो.,1
पण पैसे आहेत का तिकिटाला खिशात?,0
काय होता आधीचा कायदा?,0
पण आपण हे करू का?,0
नम्रतेचे महत्त्व पटवून देण्यासाठी कोणते उदाहरण दिले?,0
ह्या कामात तुम्हाला कुटुंबाने कशा प्रकारे साथ दिली?,0
मग आज त्याला काही वेगळे वाटते का?,0
मात्र चित्रपट पाहून त्यांनी या सिनेमाला हिरवा कंदील दिलेला नाही.,-1
त्यामुळे जंगलांचा र्‍हास होतो आहे.,-1
पण ते गंभीर तोटे आहेत.,-1
"पृथ्वीवर असताना, येशूने अनेक उत्कृष्ट गुण प्रदर्शित केले.",1
सोनं-चांदीच्या किंमतीत झाली मोठी घसरण,-1
तलाव किंवा समुद्र?,0
भाजपाची ह्यात काही जबाबदारी नाही?,0
त्यामुळे ही विद्यार्थ्यांसाठी अतिशय आनंदाची बातमी आहे.,1
मुलं मात्र खूप खूष आहेत.,1
याला रोख लावायलाच हवा.,-1
उत्पल पर्रिकर यांची राहुल गांधींवर टीका,-1
याचा जवळपास 12 कोटी शेतकऱ्यांना फायदा होणार आहे.,1
त्यास प्रशासनाने सकारात्मक प्रतिसाद दिला.,1
त्यामुळे छानच आहे निर्णय हा.,1
प्रतिक्रिया द्यायचीये?,0
तर मग तुम्हाला ही समस्या का आहे?,0
गोष्ट या प्रश्नाचे सोपे उत्तर केवळ अशक्य आहे.,-1
बॅडिमटनही उत्तम खेळणारा.,1
मी त्यांची सर्वात लाडकी विद्यार्थिनी होते.,1
कुठे वाट चुकला असतास म्हणजे?,0
नेपाळमध्ये प्रलंकारी भूकंपानंतर होत्याचे नव्हेत झाले.,-1
मूल जगले तरी बहरत नाही.,-1
दोन माणसे एकत्र काम करीत असली तर त्यांना त्यापासून अधिक मिळते.,1
कोणती पावले उचलेल?,0
आम्ही तिघंही त्याचे लाड करत होतो.,1
धन्यवाद. टौम राईली,1
कोण निरोगी आहे आणि कोण रुग्ण ?,0
काय या क्षणी बद्दल सांगितले जाऊ शकते?,0
मोदी सरकारला काही पडलेले नाही!,-1
गाशा म्हणजे काय?,0
मात्र प्रत्यक्षात कोणतीही कारवाई होत नव्हती.,-1
नागरिकत्व दुरूस्ती कायद्याला अनेक राज्यातून विरोध दर्शवला जात आहे.,-1
आम्ही अभ्यास केला आहे.,0
मुलभूत आदर्श आणि विचार घेऊन एक विशिष्ट उंची गाठेल.,1
काही समजत नव्हते.,-1
आम्हाला शहाणपणा शिकवू नका.,-1
अद्याप याप्रकरणी कुणालाही अटक झालेली नाही.,-1
"पण, पेरण्यायोग्य पाऊस झाला नव्हता.",-1
अंतरावर कोसळल्याने अनेक कौलारू घरांचे नुकसान झाले.,-1
मोर्चात महिलांची संख्या लक्षणीय होती.,1
ही मानवतेसाठी भारतातर्फे एक अनोखी भेट आहे.,1
त्यामुळे त्यांच्या संबंधामध्ये तणाव निर्माण झाला होता.,-1
भारतीय चित्रपटांना श्रीलंकेत खूप पसंती आहे.,1
यामुळे बराच तणाव निर्माण झाला होता.,-1
पण काहीच करु शकत नाही मी.,-1
पोलीस दलातील उत्कृष्ट सेवेविषयी त्यांना राष्ट्रपती पदकानेही सन्मानित करण्यात आले आहे.,1
पण ती विक्री एकदम घटली आहे.,-1
"या समस्या सोडवायच्या कशा, यासंबंधी सत्ताधारी विचार करताना दिसत नाहीत.",-1
भारताच्या डावाची सुरुवात फारशी चांगली झाली नाही.,-1
प्रेक्षकांनी हा चित्रपट का बघावा?,0
चंदनाचे तुमच्या स्वास्थ्यालाही अनेक फायदे आहेत हे तुम्हाला माहीत आहे का?,1
हा सकारात्मक बदल भाजपला फलदायी ठरला होता.,1
होय अगदी बरोबर वाचलंत तुम्ही.,1
या कवितांना प्रेरणा देण्यासाठी कारणीभूत ठरली ती त्यांची वहिनी कादंबरी.,1
अशावेळी पुढे काय?,0
मात्र दुकानदाराने ती देण्यास नकार दिला.,-1
महाराष्ट्र राज्याचा सर्वात मोठा उत्सव अशी गणेशोत्सवाची ओळख निर्माण झालेली आहे.,1
याबाबत बोलून मी चूक केली आहे.,-1
दुर्देवाने तो खरा ठरला आहे.,-1
तेव्हाही अपयश आले.,-1
त्यामुळे आता बिहारचे मुख्यमंत्री नितीशकुमार यांनी नाराजी व्यक्त केली आहे.,-1
त्यांना कोणतीही नुकसानभरपाई मिळाली नाही.,-1
अद्याप तपासणीचा अहवाल आलेला नाही.,-1
असे एकाहून एक सरस खेळाडू आहेत.,1
विद्यार्थ्यांची अभ्यासात प्रगती दिसून येईल.,1
प्रत्येक कुटुंब त्याच्या स्वत: च्या विशेष कृती आहे.,1
तुझ्याकडे वेळ आहे का थोडा?,0
यावेळी त्याने मोदी सरकारवर सडकून टीका केली.,-1
पौल कशाप्रकारचा कामकरी होता?,0
त्यामुळे आपण काय खावे करू शकतो?,0
शमी चांगला गोलंदाज आहे ,1
परंतु हे अतिरेकी हाती लागले नाहीत.,-1
पण अनेकदा मला वाटतं की तो सुस्त आहे.,-1
"उत्तम पुस्तक आहे, भरपूर माहिती समजली.",1
याला भरभरून प्रतिसाद मिळाला.,1
आहे तुम्हाला वेळ?,0
भारताचे हे धोरण बरेचसे यशस्वी ठरलेले आहे.,1
चांगलंच समजून घेतलंय.,1
काय करता येऊ शकते ?,0
मुंबईकरांना दिलासा मिळाला होता.,1
परिषदेने भारताच्या भावनांचा विचार केला नाही.,-1
भारताचा कसोटीतील हा सर्व्वात मोठा कसोटी विजय आहे.,1
मी आध्यात्मिक प्रकाश नाकारणारा धर्मत्यागी आहे का? ’,0
यावेळी काँग्रेस नेते राहुल गांधी यांनी पंतप्रधान नरेंद्र मोदी यांच्यावर जोरदार टीका केली.,-1
"परंतु, आजच्या जगात प्रेम कसे विकसित करता येते?",0
त्यांना बाहेर काढणे कठीण झाले आहे.,-1
पण या तरतुदी फक्त कागदावरच अस्तित्वात आहेत.,-1
केवळ देवच वास्तविकता आहे का?,0
जगात आवश्यक असणारा बदल स्वतःच होण्याची प्रेरणा असते.,1
"पण, दावीद मात्र निराश झाला",-1
तुम्हा सर्वांनी केलेल्या प्रार्थनांबद्दल तुमचे मनापासून आभार’.,1
सर्वांचे प्रतिसादाबद्दल मनःपूर्वक आभार.,1
बचावतील का?,0
येथे सूची आहे.,0
"दरम्यान, परीक्षा घेणाऱ्या या संस्थेची अधिकृत घोषणा अद्याप करण्यात आली नाही.",-1
"मात्र, त्यांचा हा प्रयोग यशस्वी झाला नाही.",-1
अशीही टीका केली.,-1
त्यांना न्याय देता येत नाही.,-1
समाजात तुम्हाला मान व मान्यता मिळेल.,1
देशाच्या दृष्टीने हे चांगले संकेत आहेत.,1
काळ मी तणावात होते ?,0
त्यामुळे मी कार्यक्रमाचा पूर्ण फायदा घेऊ शकलो.,1
पण का कोण जाणे?,0
आमच्या काही नवीन वैशिष्ट्यांचा वापर केल्याबद्दल धन्यवाद,1
आम्हाला आशा आहे की आपण त्यांचा आनंद घेतला असेल!,1
अजुन कोणत्याही प्रकारे प्रशासनाकडून ठोस पावले उचलली जात नाही.,-1
त्यामुळे पिण्याची किंवा प्यायला नाही?,0
अनेक समस्या आहेत.,-1
देश आर्थिक संकटाला तोंड देतोय हे आम्ही नाकारू शकत नाही.,-1
ते कधीही विसर्जित होत नाही.,-1
हा ‘अपराध’ पुढे करायचा कोणी?,0
राखी सावंत आणि अर्शी खानने सलमानकडे मागितले ५ कोटी!,0
"योनाचा जन्म एका गालीली शहरात झाला होता, ही गोष्ट उल्लेखण्याजोगी आहे.",1
मात्र अजूनही पैसे जमा झालेले नाहीत.,-1
अवघे जीवनच उद्ध्वस्त झाले आहे.,-1
तसं पुन्हा घडलं तर मला खूप आनंद होईल.,1
वा वा! माहिती बद्दल आभार मी,1
"""पोलीस ऑफीसर?",0
मात्र प्रत्यक्षात नालेसफाईच होत नाही.,-1
पण प्रथम पक्षी तसेच तेव्हा?,0
कसा रचला कार अपघाताचा बनाव?,0
या देशात एकही नदी नसल्याने पाण्याचे मोठे संकंट आहे.,-1
सायबर सुरक्षेचे काय?,0
हे म्हणणारे शास्त्रलेख कसे पूर्ण व्हावे?,0
हॉटेल इंडस्ट्रीला मोठा दिलासा मिळाला आहे.,1
कोण भारतीय आहे आणि कोण नाही हे ठरवणारे नरेंद मोदी कोण?,0
रासायनिक खताच्या बेसुमार वापरामुळे मातीची उत्पादन क्षमता दिवसेंदिवस कमी होत आहे.,-1
त्यामुळे गृह कर्ज घेणार्‍या लोकांना याचा फायदा मिळेल.,1
डॉक्टर चांगले कार्य करत आहे.,1
आपला देश आपल्याला मजबूत करतो.,1
चांगला काळ सुरु आहे.,1
त्यांच्यासमोर इतर कोणताच पर्याय उपलब्ध नाही.,-1
पण तो फारसा सफल होताना दिसत नाही.,-1
धवन व दलाल दोन्ही कुटुंब या नात्यापासून आनंदी आहेत.,1
पण आपली आई?,0
तुम्हाला किती पुरावे हवे आहेत?,0
यामुळे शेतकऱ्यांचाही लाभ होणार आहे.,1
तो कितपत परीक्षण करेल?,0
अनुवाद कोणती चूक करतात?,0
याबाबतीत कोण योग्यपणे आक्षेप घेऊ शकत होता?,0
कार्यक्रम इतर काय आवृत्ती ठिकाणी घेत आहेत?,0
त्यांना तर उमेदवारीच देण्यात आली नाही.,-1
भविष्यात अधिक कठोर कारवाई केली जाणार आहे.,-1
या चित्रपटासाठी तिला सर्वोत्कृष्ट साहाय्यक अभिनेत्रीचा पुरस्कार देखील मिळाला होता.,1
शासन काय आहे?,0
मला सुध्दा खूप वेळा अपयश आलं आहे.,-1
आपणा सर्वांना जन्माष्टमी सणाच्या शुभेच्छ!,1
हे सर्व आध्यात्मिक अन्‍न सबंध पृथ्वीवरील खऱ्‍या उपासकांकरता आशीर्वाद ठरले आहे.,1
प्रशासनातील कायापालटाशिवाय भारताचा कायापालट घडणे शक्य नाही.,-1
त्यामुळे ती कोण आहे?,0
रात्री उशिरापर्यंत तक्रार नोंद झालेली नव्हती.,-1
संवाद साधण्यास मी अत्यंत उत्सुक आहे.,1
परिसरात तणावपूर्ण वातावरण निर्माण झाले आहे.,-1
एका जोडप्याला लग्नानंतर कोणते बदल करावे लागले?,0
संरक्षण मंत्री निर्मला सीतारमण यांनी आनंद व्यक्त केला आहे,1
संरक्षण संशोधन आणि विकास संस्थेचे याबद्दल अभिनंदन केले आहे.,1
ते दर्शविला जाऊ शकतो?,0
तुम्ही तेथे असाल का?,0
पेत्र व हनन्या खोटं बोलले — आपण काय शिकू शकतो?,0
हा तर दहशतवाद नाही ही तर कायदा आणि सुव्यवस्थेची समस्या आहे.,-1
सोलिह यांनी शुभेच्छा आणि शुभेच्छा दिल्याबद्दल पंतप्रधानांचे आभार मानले,1
आम्ही आशावादी आहोत.,1
त्यांच्या कामाचे कौतुक केले.,1
मला तसं सांगितलं गेलं का नव्हतं?,0
याचा विद्यार्थ्यांवर दूरगामी खूप वाईट परिणाम होतो.,-1
त्यामुळे काही सांगता येत नाही.,-1
कौशल्य प्रशिक्षण घेण्यासाठी सरकार त्यांना प्रोत्साहन देते.,1
“निवडणुका’ म्हणजे लोकशाहीतील एक उत्साहपर्वच !,0
"""की तुम्ही सांगता मला तुमच्यावेळेसची कथा?",0
पण बक्षीस काही मिळालं नाही.,-1
चांगले पोषण एक फार महत्वाचा घटक पाणी आहे.,1
"योग्य गोष्ट म्हणजे सुखी असणे, आणि आयुष्य असे पर्यंत आनंद लुटणे.",1
यापेक्षा असंवेदनशीलता काय असू शकते?,0
लोकसभेच्या 40 जागा कशा लढवायच्या यावरुनही ठिणग्या पडू लागल्या आहेत.,-1
आपली उद्दीष्टे कोणती आहेत?,0
या अर्थभरीत सल्ल्याचे पालन आपण कसे करू शकतो?,0
तुम्हाला हे सगळं कसं माहीत आहे?,0
लोकांशी तो कशाप्रकारे वागला?,0
पहिल्याच सराव सामन्यात भारत ‘अ’ संघाकडून पराभव स्वीकारावा लागला.,-1
हळद काय आहे?,0
मात्र या 'रेडू'चा नेमका अर्थ काय?,0
सुशांतने आत्महत्या का केली?,0
उपाय काय करायचा?,0
त्याला काय पडल्येय?,0
हा राजीनामा आहे का वरती जायची शिडी?,0
"अर्थव्यवस्था ठप्प झाली आहे, बेरोजगारांची संख्या वाढली आहे.",-1
शिवाय रस्तेही खराब होतात.,-1
कुणी जबाबदारी घेतली का?,0
यावर मात कशी करावी?,0
सशल पाहते आहेस ना?,0
आमच्या देशासाठी त्यांचे योगदान हे संस्मरणीय आहे ,1
पण यावर उपाय काय?,0
धोनी महान खेळाडू आहे.,1
आपण कशा प्रकारे आपल्या बांधवांना मदत करू शकतो?,0
फसवणूक होऊ नये म्हणून तुम्ही काय करू शकता?,0
"ती असं का करतेय, यावर मी काय बोलू शकतो?",0
त्यामुळे खूप मोठय़ा प्रमाणात प्रदूषण होत आहे.,-1
परंतु याबाबत कोणतीही कारवाई होताना दिसत नाही.,-1
"आपल्या मुलावर, मुलीवर अधिक प्रीति करतो, तो मला योग्य नाही.",-1
या प्रेरीत वचनांचा काही लोकांनी चुकीचा अर्थ लावला आहे.,-1
कोण आहेत पवन पांडे?,0
या प्रकल्पातून किती लोकांना रोजगार मिळेल?,0
"छान गोष्ट आहे, ते म्हणाले.",1
माझ्या तुम्हा सर्वाना नेहमीच खूप शुभेच्छा आहेत आणि असतील.,1
तो हताश झाला होता.,-1
त्यामुळे या परिसरात तणावाचे वातावरण होते.,-1
या प्रकल्पाशी संबंधित अधिकाऱ्यांनी निष्ठेने काम केल्याबद्दल त्यांनी प्रशंसा केली.,1
देशात बेरोजगारी मोठी समस्या आहे.,-1
अशी घडली घटना!,0
सोशल मीडियात या मुद्द्यावर अनेकांनी आपला रोष व्यक्त केलाय.,-1
उपग्रहांच्या यशस्वी प्रक्षेपणाबद्दल पंतप्रधान नरेंद्र मोदी यांनी इस्रोचे अभिनंदन केले आहे.,1
त्याबाबत कोणीही तक्रार करत नाही.,-1
तशीच झडप घालायला तयार आहे कि काय?,0
शांतता धोक्यात आणली जात आहे.,-1
साक्षीदारांशी व्यवहार करताना आपण शांती कशाप्रकारे प्रस्थापित करू शकतो?,0
कोणत्या उदाहरणावरून हे स्पष्ट होतं?,0
त्याचे काय प्रकार आहेत?,0
सर्वश्रेष्ठ अभिनेत्याचा दुसरा राष्ट्रीय पुरस्कार मिळाला होता.,1
केवळ आनंदी असणे आवश्यक आहे.,1
सावधगिरी बाळगा आणि सुरक्षित राहा!,0
आणि ‘आनंद भारती’ व्हा!,1
"मात्र, मोदी यांनी याबाबत ट्विटरवर याबाबत जाहीर नाराजी व्यक्त केली.",-1
पण जे लोक योग्य गोष्ट करण्याचा प्रयत्न करतात त्यांच्याबद्दल परमेश्वर आनंदी असतो.,1
जे लोक आनंदाने दुष्टपणा करतात त्यांचा परमेश्वर तिरस्कार करतो,-1
मस्त सुरवात!,1
ही मालिका प्रचंड गाजली होती.,1
आर्थिक फायदा आहे.,1
कोणत्याही गोष्टीचा अतिरेक हा चांगला नाही.,-1
गांधींना मारणारे देशभक्त असू शकत नाहीत?,0
"पण ""वॉट्स अप"" इतके सोपे नाही!",0
पण त्याने यातले काहीच का केले नाही?,0
यावेळी दोघेही समोरासमोर आले.,
कोणाला दिल्यास?,0
यामध्ये त्यांना भरपूर यश मिळाले आहे.,1
शिक्षणमंत्र्यांवर कारवाई करा,-1
यामुळे आपली अन्न पचण्याची प्रक्रिया सुलभ होते.,1
प्रशासन कुणाला पाठीशी घालत होते?,0
"कर्णधार, फलंदाज आणि यष्टिरक्षक म्हणून तो सर्वोत्कृष्ट आहे.",1
गोलंदाजीमध्ये त्याने दोनवेळा पाच विकेट्स मिळवण्याचा पराक्रम केला आहे.,1
त्यांच्यापैकी प्रत्येकाला त्याचे फायदे आहेत.,1
त्याला तरी का विरोध करा ?,-1
त्याबाबत नक्की काय?,0
किती पडणार?,0
जगातल्या सगळ्या जागा गेल्यात कुठे?,0
त्यावर बोलण्यासारखे काय आहे?,0
पुणे शहर उद्योग आणि माहिती तंत्रज्ञान क्षेत्रातसुद्धा अग्रेसर आहे.,1
त्यामुळे आताच सोनं खरेदी करण्याची योग्य वेळ आहे का?,0
आमच्यावर सरकारने अन्याय केला आहे.,-1
भारताच्या उद्योग जगताने पुरेपूर फायदा घेतला पाहिजे.,1
ते पुढे म्हणतात: “आताही आपण चांगलं करत आहोत.,1
राहुल गांधींना इंटरेस्ट नाही.,-1
"मात्र, माझ्या वक्तव्याचा विपर्यास केला गेला.",-1
यावर तुम्ही काय म्हणाल ?,0
कारण ते योग्यही नाही.,-1
आमच्या देशाची तुम्ही नेहमी पाकिस्तानशी तुलना का करता?,0
शेतकऱ्यांबद्दल काय म्हणाले नाना?,0
'पंतप्रधानांच्या जातीचा इथे काय संबंध?,0
त्याचा गे असण्यात दोष काय आहे?,0
पण संसदेत एकाचेही तोंड उघडत नाही.,-1
"पण आम्ही खरोखर, माहित आहे का?",0
वडील इतरांना प्रशिक्षण देतात तेव्हा मंडळीला याचा कोणता फायदा होतो?,0
तो ग्रूप फार काळ टिकला नाही.,-1
तिचा आवडता पदार्थ?,0
जेणेकरुन त्याची सेक्स लाईफ आणखीन चांगली बनेल.,1
"आणि आली होती, तर ती कशी आली ?",0
हा प्रश्न नागरिकांना सतावत आहे.,-1
"क्षेत्राचा साधा उल्लेखही नाही हे दुर्दैवी आहे, अशी पहिली टीका केली होती.",-1
२० ऑक्टोबरला दुपारी २:३० वाजता तू कुठे होतास?,0
भविष्यवाणींच्या वर्णनातील कोणती गोष्ट तुम्हाला जास्त आवडली?,0
हे आपले राजकीय आणि गुप्तचर यंत्रेणेचे अपयश नाही का?,0
तुम्ही कशाला एवढे चिडलायत?,0
तेव्हा काही मार्ग नव्हता.,-1
"पण, तो या संधीचा फारसा लाभ करुन घेऊ शकला नाही.",-1
स्वच्छ भारत आणि स्वच्छ पर्यावरणाचे उद्दिष्ट गाठण्याला प्रोत्साहन मिळेल.,1
‘पद्म’ पुरस्काराने त्यांना सन्मानित केले आहे.,1
जीवनात कठीण प्रसंग येतात तेव्हा आपण धैर्य कसं दाखवू शकतो?,0
निर्घृण हत्या केल्याच्या घटनेनंतर संपूर्ण देशात संतापाची लाट उसळली आहे.,-1
‘‘ मला लहानपणापासूनच प्राण्यांची आवड होती.,1
देवाच्या गौरवी नावाचा जय जयकार करा. स्तुतिगीतांनी त्याचा सन्मान करा.,1
सह चहा बरोबर खाण्याचा आनंद घ्या.,1
त्यामुळे या डॉक्टर कोण आहे?,0
याचे आश्चर्य व्यक्त करण्यात येत आहे.,1
ट्विटरवर आनंदोत्सव,1
मुख्यमंत्री उद्धव ठाकरे भावव्याकुळ!,1
उमेदवार नितेश राणे यांनी विजय मिळवला आहे.,1
यामुळे स्थानिक कोळी बांधवांना मोठा दिलासा मिळाला आहे.,1
मात्र त्यांनी घेतला नाही.,-1
आयपीएलच्या आजवरच्या इतिहासातील ही सर्वोच्च वैयक्तिक धावसंख्या आहे.,1
घटनेनंतर परिसरात भीतीचं वातावरण,-1
त्यांना नाही आवडलं तर?,0
ती कुठे मिळेल?,0
त्यासाठी कसे वापरू शकतो?,0
मान्सूनची अडचण,-1
खुपंच छान वाटलं त्यांच्याशी बोलुन.,1
जे कोलेस्ट्रॉलची मात्रा कमी करण्यासाठी मदत करतात.,1
पण अनेकदा त्याचा काही उपयोग होत नाही.,-1
पर्यावरण जपले पाहिजे.,1
आभारी असल्याचे म्हटले आहे.,1
काँग्रेसने नाराजी व्यक्त केली.,-1
